Frequency (Hz),TR1: Gain (dB)
100.0,[-0.00381246]
109.3551836173851,[-0.01249451]
119.58556183992022,[-0.00748625]
130.77301072992634,[-0.0210675]
143.00706600569367,[-0.01791286]
156.3856396163614,[-0.02982059]
171.0158033536943,[-0.02924583]
187.01464577217862,[-0.03755426]
204.51020927556826,[-0.04105103]
223.64251486959617,[-0.04872387]
244.56468278218492,[-0.05880616]
267.4441579197337,[-0.06984045]
292.4640499670941,[-0.07816413]
319.824598856357,[-0.1007751]
349.7447773329345,[-0.12202849]
382.4640434446452,[-0.14265526]
418.2442569793672,[-0.16802496]
457.37177518895544,[-0.19654757]
500.159744571976,[-0.24078493]
546.9506070569287,[-0.28120899]
598.1188406435074,[-0.3307372]
654.0739564358823,[-0.39746028]
715.2637760539545,[-0.4634985]
782.1780156524441,[-0.55048828]
855.3522052315502,[-0.64511627]
935.3719746063143,[-0.76031795]
1022.8777403362967,[-0.8931379]
1118.569831126117,[-1.04629017]
1223.2140927166395,[-1.22042695]
1337.648017124012,[-1.41672505]
1462.7874452802744,[-1.64980981]
1599.6338967183005,[-1.89831518]
1749.2825849622313,[-2.18850226]
1912.9311827723905,[-2.50815483]
2091.889407394964,[-2.86232056]
2287.5895025293917,[-3.24526033]
2501.5977009030426,[-3.6645869]
2735.6267591908063,[-4.11465292]
2991.5496655994275,[-4.60449408]
3271.414629821527,[-5.11632581]
3577.4614753273295,[-5.66316059]
3912.139565185419,[-6.23360183]
4278.1274048768855,[-6.82444311]
4678.35407898879,[-7.45715556]
5116.022693349617,[-8.09398612]
5594.636010219563,[-8.76605787]
6118.0244816999575,[-9.42099053]
6690.376905719561,[-10.1001372]
7316.273949944761,[-10.81322814]
8000.724811913006,[-11.52206336]
8749.207308789155,[-12.22495202]
9567.711717592058,[-12.97914363]
10462.788716754885,[-13.68637155]
11441.601812706354,[-14.44548189]
12511.984671055096,[-15.17411163]
13682.503811211376,[-15.93793107]
14962.527166205913,[-16.69236237]
16362.299056405604,[-17.45997024]
17893.022177158015,[-18.21249277]
19566.947256530584,[-18.96904526]
21397.471100695915,[-19.73121004]
23399.24381164293,[-20.51242436]
25588.286035301742,[-21.26027956]
27982.117178445988,[-22.05145538]
30599.895620521464,[-22.77752717]
33462.57204254943,[-23.54263023]
36593.05710022977,[-24.37112279]
40016.40478317084,[-23.56046601]
43760.01292771254,[-22.30833631]
47853.842488091504,[-26.58033381]
52330.65732082671,[-27.37250645]
57226.28640137462,[-28.11888441]
62579.91057163389,[-28.9174474]
68434.37611320562,[-28.51136177]
74836.53765600793,[-30.42124473]
81837.63316662102,[-27.52372956]
89493.69401748046,[-28.89845598]
97865.99341879673,[-28.80301891]
107021.53680210318,[-29.14916654]
117033.5980800873,[-28.33167168]
127982.30607451193,[-29.17417581]
139955.2858055466,[-20.35472974]
153048.35977489158,[-28.94870496]
167366.31485522885,[-23.44841369]
183023.74092358636,[-29.09343788]
200145.94795039506,[-26.35383425]
218869.9688839105,[-33.90947531]
239345.65635631394,[-29.15997889]
261736.88198868264,[-28.70318785]
286222.84789314243,[-29.58174409]
312999.52086845477,[-29.00197413]
342281.20076723496,[-28.94341184]
374302.2355868003,[-26.15736116]
409318.89700992283,[-28.52512365]
447611.43140585645,[-28.79212951]
489486.3027062811,[-28.61576408]
535278.645106403,[-27.2084671]
585354.9452207582,[-27.63885352]
640115.975159604,[-28.10583668]
700000.0000000001,[-27.31865017]
